PID,MedianRT,MeanACC
0457,532,1
7081,819.5,0.925925925925926
0336,875,0.944444444444444
7185,303.5,0.981481481481482
7281,509,0.981481481481482
7489,485,1
7540,500.5,0.981481481481482
7543,210.5,1
7544,363.5,1
7552,279.5,0.981481481481482
7571,312,1
7589,322,1
7178,618.5,1
7211,308,0.981481481481482
7014,281.5,1
7112,541,0.833333333333333
7330,314.5,1
7371,386,1
7372,235.5,0.981481481481482
7384,496,1
7395,255.5,1
7413,332.5,0.944444444444444
7438,205,1
7446,760.5,0.981481481481482
7498,338.5,0.925925925925926
7331,314,0.981481481481482
7437,327,0.962962962962963
7623,257.5,1
7652,332,1
7666,327,0.962962962962963
7669,355,1
7676,388.5,1
7679,397,1
7680,279,1
7689,279.5,1
7691,183,0.981481481481482
7696,227.5,0.981481481481482
7702,848.5,0.740740740740741
7707,273,1
7710,296,1
